LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.35000000000000003,-0.01,0.42,0.99
shap,0.48,0.37,0.66,0.44,0.03
shapr,0.22,0.42,0.61,0.43,0.01
brutekernelshap,0.47000000000000003,0.39,0.64,0.45,0.03
maple,0.49,0.38,0.65,0.43,0.03
lime,0.47000000000000003,0.39,0.64,0.46,0.06
l2x,0.06,0.36,0.01,0.34,0.13


DTREE,0.00,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.39,-0.03,0.41000000000000003,1.05
shap,0.15,0.42,0.5700000000000001,0.42,0.04
shapr,0.11,0.4,0.53,0.4,0.01
brutekernelshap,0.14,0.44,0.5,0.44,0.04
maple,0.13,0.42,0.53,0.43,0.03
lime,0.17,0.42,0.58,0.46,0.07
l2x,0.04,0.39,-0.14,0.37,0.13


MLP,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.09,0.38,-0.04,0.38,1.18
shap,0.34,0.38,0.63,0.43,0.03
shapr,0.09,0.38,0.59,0.45,0.01
brutekernelshap,0.33,0.41000000000000003,0.61,0.44,0.03
maple,0.33,0.42,0.62,0.43,0.03
lime,0.27,0.37,0.55,0.46,0.05
l2x,0.0,0.37,0.24,0.4,0.13


