LR,0.73,0.94
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.48,0.05,0.47000000000000003,1.11
shap,0.03,0.55,0.8200000000000001,0.5700000000000001,0.02
shapr,-0.02,0.5700000000000001,0.84,0.5700000000000001,0.0
brutekernelshap,0.06,0.51,0.84,0.5700000000000001,0.02
maple,0.04,0.53,0.8300000000000001,0.59,0.02
lime,-0.03,0.55,0.86,0.55,0.05
l2x,0.02,0.4,-0.07,0.46,0.08


DTREE,0.00,0.12
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.48,0.0,0.46,1.18
shap,-0.02,0.5,0.58,0.52,0.02
shapr,-0.03,0.52,0.73,0.52,0.0
brutekernelshap,-0.02,0.5,0.38,0.45,0.03
maple,-0.29,0.48,0.53,0.52,0.16
lime,0.05,0.48,0.49,0.52,0.08
l2x,-0.01,0.48,0.16,0.45,0.15


MLP,0.03,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.44,0.01,0.5,1.09
shap,0.07,0.54,0.68,0.5,0.03
shapr,0.01,0.5700000000000001,0.8300000000000001,0.5,0.01
brutekernelshap,0.0,0.55,0.38,0.44,0.03
maple,0.06,0.53,0.48,0.49,0.16
lime,0.14,0.53,0.56,0.51,0.1
l2x,-0.01,0.43,-0.07,0.44,0.16


