LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.30000000000000004,-0.04,0.33,1.04
shap,0.56,0.32,0.62,0.44,0.02
shapr,0.41000000000000003,0.36,0.51,0.43,0.01
brutekernelshap,0.51,0.36,0.6000000000000001,0.44,0.02
maple,0.53,0.34,0.59,0.45,0.02
lime,0.5700000000000001,0.34,0.64,0.43,0.05
l2x,0.07,0.24,-0.26,0.29,0.09


DTREE,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.35000000000000003,-0.01,0.41000000000000003,1.05
shap,0.17,0.38,0.45,0.4,0.11
shapr,0.09,0.38,0.46,0.37,0.02
brutekernelshap,0.13,0.37,0.5,0.38,0.09
maple,0.14,0.36,0.53,0.43,0.02
lime,0.16,0.35000000000000003,0.45,0.42,0.18
l2x,-0.05,0.36,0.02,0.38,0.09


MLP,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.38,0.02,0.38,1.04
shap,0.03,0.4,0.44,0.37,0.01
shapr,-0.05,0.37,0.41000000000000003,0.36,0.0
brutekernelshap,-0.04,0.39,0.46,0.38,0.01
maple,-0.14,0.36,0.49,0.37,0.01
lime,-0.08,0.38,0.41000000000000003,0.37,0.03
l2x,-0.02,0.34,0.05,0.37,0.09


