LR,0.29,0.36
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.35000000000000003,0.11,0.41000000000000003,1.08
shap,0.59,0.48,0.8,0.43,0.05
shapr,0.42,0.45,0.75,0.42,0.01
brutekernelshap,0.5700000000000001,0.44,0.75,0.42,0.05
maple,0.56,0.48,0.78,0.43,0.05
lime,0.68,0.47000000000000003,0.8200000000000001,0.44,0.09
l2x,-0.06,0.35000000000000003,0.08,0.4,0.11


DTREE,0.00,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.06,0.44,0.06,0.42,1.13
shap,0.25,0.46,0.58,0.44,0.05
shapr,0.28,0.46,0.67,0.4,0.01
brutekernelshap,0.14,0.42,0.43,0.38,0.09
maple,-0.24,0.42,0.26,0.26,0.1
lime,0.31,0.43,0.56,0.44,0.1
l2x,0.04,0.39,-0.12,0.33,0.16


MLP,0.11,0.12
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.41000000000000003,-0.08,0.39,1.12
shap,0.34,0.39,0.5700000000000001,0.44,0.04
shapr,0.23,0.43,0.61,0.44,0.01
brutekernelshap,0.2,0.41000000000000003,0.52,0.42,0.06
maple,0.33,0.44,0.66,0.42,0.05
lime,0.23,0.44,0.53,0.44,0.08
l2x,0.11,0.39,0.03,0.36,0.13


