LR,0.82,1.14
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.38,0.04,0.46,1.02
shap,0.09,0.48,0.77,0.53,0.03
shapr,-0.13,0.49,0.73,0.54,0.01
brutekernelshap,0.05,0.46,0.76,0.53,0.03
maple,0.04,0.47000000000000003,0.75,0.52,0.03
lime,-0.03,0.48,0.77,0.52,0.06
l2x,-0.02,0.4,-0.07,0.45,0.06


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.08,0.44,-0.02,0.44,1.2
shap,-0.03,0.45,0.47000000000000003,0.48,0.04
shapr,-0.12,0.46,0.54,0.5,0.02
brutekernelshap,0.02,0.44,0.22,0.42,0.07
maple,0.06,0.48,0.55,0.48,0.24
lime,-0.03,0.42,0.44,0.47000000000000003,0.13
l2x,-0.1,0.41000000000000003,-0.12,0.35000000000000003,0.16


MLP,0.02,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.42,-0.0,0.42,1.2
shap,0.07,0.44,0.53,0.49,0.06
shapr,-0.02,0.48,0.61,0.52,0.02
brutekernelshap,0.08,0.46,0.26,0.43,0.07
maple,0.18,0.52,0.58,0.5,0.21
lime,0.1,0.44,0.45,0.46,0.14
l2x,-0.02,0.45,0.08,0.43,0.16


