LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.44,-0.01,0.43,1.07
shap,0.48,0.56,0.86,0.41000000000000003,0.02
shapr,0.48,0.56,0.9,0.41000000000000003,0.01
brutekernelshap,0.5,0.6000000000000001,0.87,0.42,0.02
maple,0.52,0.5700000000000001,0.87,0.42,0.02
lime,0.48,0.56,0.78,0.43,0.05
l2x,0.05,0.41000000000000003,-0.13,0.41000000000000003,0.2


DTREE,0.00,0.10
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.46,0.01,0.45,1.13
shap,0.2,0.5,0.79,0.43,0.02
shapr,0.24,0.51,0.8300000000000001,0.43,0.01
brutekernelshap,0.35000000000000003,0.48,0.74,0.44,0.02
maple,0.22,0.5,0.7000000000000001,0.37,0.02
lime,0.29,0.47000000000000003,0.68,0.44,0.05
l2x,0.07,0.44,0.07,0.48,0.19


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.06,0.44,-0.01,0.46,1.21
shap,0.45,0.56,0.84,0.43,0.02
shapr,0.41000000000000003,0.5700000000000001,0.89,0.42,0.01
brutekernelshap,0.47000000000000003,0.6000000000000001,0.84,0.43,0.02
maple,0.46,0.55,0.8300000000000001,0.42,0.02
lime,0.43,0.56,0.76,0.42,0.05
l2x,0.04,0.4,-0.05,0.4,0.21


