LR,0.35,0.34
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.08,0.46,0.04,0.44,1.09
shap,0.6000000000000001,0.55,0.88,0.45,0.01
shapr,0.53,0.62,0.9,0.5,0.0
brutekernelshap,0.54,0.56,0.89,0.44,0.01
maple,0.58,0.56,0.9,0.44,0.01
lime,0.59,0.56,0.87,0.47000000000000003,0.05
l2x,0.09,0.42,-0.0,0.39,0.15


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.46,0.04,0.48,1.12
shap,0.46,0.48,0.91,0.43,0.02
shapr,0.34,0.48,0.92,0.42,0.0
brutekernelshap,0.25,0.52,0.71,0.42,0.06
maple,-0.32,0.51,0.47000000000000003,0.37,0.12
lime,0.48,0.49,0.81,0.42,0.06
l2x,-0.04,0.44,0.02,0.42,0.21


MLP,0.15,0.20
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.5,-0.07,0.41000000000000003,1.16
shap,0.55,0.58,0.92,0.47000000000000003,0.01
shapr,0.54,0.61,0.93,0.47000000000000003,0.0
brutekernelshap,0.47000000000000003,0.6000000000000001,0.85,0.46,0.02
maple,-0.37,0.45,0.63,0.41000000000000003,0.08
lime,0.67,0.6000000000000001,0.86,0.45,0.04
l2x,0.03,0.42,0.02,0.43,0.17


