LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.46,-0.05,0.43,1.17
shap,0.59,0.8300000000000001,0.93,0.4,0.0
shapr,0.62,0.86,0.98,0.42,0.0
brutekernelshap,0.62,0.86,0.98,0.4,0.0
maple,0.63,0.9,0.98,0.42,0.0
lime,0.5700000000000001,0.8,0.87,0.39,0.06
l2x,0.08,0.42,-0.16,0.38,0.23


DTREE,0.00,0.11
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.48,0.06,0.45,1.06
shap,0.41000000000000003,0.52,0.88,0.38,0.0
shapr,0.37,0.53,0.86,0.38,0.0
brutekernelshap,0.32,0.53,0.8,0.37,0.01
maple,0.43,0.5,0.74,0.42,0.01
lime,0.41000000000000003,0.49,0.75,0.4,0.06
l2x,0.03,0.47000000000000003,0.06,0.48,0.22


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.47000000000000003,-0.05,0.44,1.22
shap,0.58,0.72,0.9500000000000001,0.38,0.0
shapr,0.6000000000000001,0.76,0.98,0.44,0.0
brutekernelshap,0.6000000000000001,0.79,0.98,0.38,0.0
maple,0.61,0.79,0.98,0.4,0.0
lime,0.54,0.72,0.85,0.35000000000000003,0.05
l2x,0.04,0.46,-0.06,0.41000000000000003,0.23


