LR,0.39,0.39
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.11,0.5,0.02,0.43,1.09
shap,0.52,0.65,0.93,0.46,0.0
shapr,0.54,0.63,0.9500000000000001,0.48,0.0
brutekernelshap,0.56,0.74,0.98,0.43,0.0
maple,0.56,0.72,0.97,0.45,0.0
lime,0.5700000000000001,0.68,0.92,0.44,0.03
l2x,-0.09,0.42,0.05,0.42,0.15


DTREE,0.00,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.47000000000000003,0.02,0.46,1.12
shap,0.41000000000000003,0.52,0.98,0.42,0.0
shapr,0.38,0.48,0.97,0.4,0.0
brutekernelshap,0.13,0.45,0.72,0.4,0.03
maple,-0.37,0.5,0.44,0.42,0.12
lime,0.53,0.5,0.88,0.34,0.04
l2x,-0.02,0.46,-0.0,0.44,0.2


MLP,0.18,0.21
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.47000000000000003,-0.02,0.48,1.19
shap,0.58,0.73,0.97,0.43,0.0
shapr,0.55,0.6900000000000001,0.97,0.44,0.0
brutekernelshap,0.46,0.7000000000000001,0.91,0.41000000000000003,0.01
maple,-0.39,0.46,0.62,0.41000000000000003,0.07
lime,0.58,0.74,0.91,0.44,0.03
l2x,0.09,0.42,-0.23,0.39,0.16


