LR,0.58,0.59
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.48,0.05,0.5,1.17
shap,0.1,0.74,0.9500000000000001,0.52,0.0
shapr,0.09,0.74,0.97,0.52,0.0
brutekernelshap,0.08,0.72,0.98,0.5700000000000001,0.0
maple,0.09,0.72,0.98,0.55,0.0
lime,0.05,0.8200000000000001,0.92,0.5700000000000001,0.03
l2x,0.1,0.48,-0.02,0.48,0.12


DTREE,0.00,0.21
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.46,-0.05,0.48,1.11
shap,0.06,0.52,0.85,0.56,0.0
shapr,-0.01,0.52,0.85,0.5700000000000001,0.0
brutekernelshap,0.06,0.49,0.5,0.48,0.03
maple,-0.12,0.5,0.55,0.5700000000000001,0.13
lime,0.16,0.53,0.63,0.54,0.07
l2x,-0.04,0.42,-0.01,0.5,0.16


MLP,0.02,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.0,0.5,0.03,0.5,1.12
shap,0.09,0.6900000000000001,0.93,0.55,0.0
shapr,0.16,0.7000000000000001,0.96,0.54,0.0
brutekernelshap,0.1,0.6000000000000001,0.48,0.5,0.03
maple,-0.14,0.56,0.5700000000000001,0.51,0.07
lime,0.14,0.71,0.77,0.52,0.09
l2x,0.06,0.47000000000000003,-0.03,0.42,0.19


