LR,0.31,0.35
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.07,0.41000000000000003,0.06,0.45,1.06
shap,0.56,0.56,0.84,0.44,0.03
shapr,0.44,0.56,0.81,0.46,0.01
brutekernelshap,0.48,0.48,0.84,0.46,0.03
maple,0.58,0.56,0.8200000000000001,0.48,0.03
lime,0.6000000000000001,0.54,0.84,0.46,0.08
l2x,-0.01,0.44,0.35000000000000003,0.4,0.13


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.07,0.43,0.04,0.44,1.17
shap,0.28,0.5,0.79,0.44,0.03
shapr,0.37,0.53,0.8200000000000001,0.43,0.01
brutekernelshap,0.18,0.45,0.71,0.44,0.07
maple,-0.32,0.48,0.41000000000000003,0.36,0.12
lime,0.37,0.46,0.71,0.44,0.09
l2x,0.07,0.4,-0.1,0.37,0.21


MLP,0.14,0.22
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.41000000000000003,-0.02,0.4,1.16
shap,0.5,0.52,0.85,0.44,0.03
shapr,0.47000000000000003,0.52,0.85,0.43,0.01
brutekernelshap,0.39,0.51,0.78,0.45,0.04
maple,0.36,0.53,0.78,0.42,0.05
lime,0.54,0.52,0.79,0.45,0.07
l2x,-0.04,0.42,0.03,0.42,0.17


