LR,0.86,1.11
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.33,0.05,0.42,1.04
shap,-0.03,0.36,0.61,0.39,0.16
shapr,-0.04,0.46,0.6000000000000001,0.41000000000000003,0.04
brutekernelshap,0.1,0.42,0.59,0.38,0.16
maple,0.05,0.38,0.61,0.41000000000000003,0.16
lime,-0.01,0.38,0.55,0.42,0.27
l2x,0.08,0.36,0.21,0.37,0.05


DTREE,0.00,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.35000000000000003,-0.07,0.38,1.08
shap,0.01,0.36,0.33,0.43,0.08
shapr,-0.14,0.41000000000000003,0.35000000000000003,0.42,0.03
brutekernelshap,0.06,0.36,0.1,0.34,0.1
maple,-0.18,0.4,0.49,0.34,0.47000000000000003
lime,-0.1,0.38,0.35000000000000003,0.45,0.11
l2x,0.09,0.32,0.12,0.35000000000000003,0.08


MLP,0.03,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.0,0.36,0.1,0.4,1.05
shap,-0.02,0.38,0.12,0.4,0.04
shapr,0.01,0.35000000000000003,0.17,0.4,0.01
brutekernelshap,-0.08,0.38,0.11,0.39,0.04
maple,0.04,0.4,0.67,0.44,0.15
lime,-0.02,0.38,0.28,0.42,0.07
l2x,-0.07,0.34,-0.01,0.36,0.08


