LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.09,0.4,0.02,0.44,1.07
shap,0.52,0.46,0.7000000000000001,0.46,0.03
shapr,0.31,0.44,0.7000000000000001,0.46,0.01
brutekernelshap,0.48,0.46,0.7000000000000001,0.44,0.03
maple,0.52,0.47000000000000003,0.71,0.45,0.03
lime,0.54,0.47000000000000003,0.64,0.42,0.06
l2x,-0.05,0.34,-0.02,0.37,0.17


DTREE,0.00,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.11,0.4,0.01,0.45,1.16
shap,0.30000000000000004,0.47000000000000003,0.66,0.46,0.04
shapr,0.15,0.44,0.64,0.42,0.01
brutekernelshap,0.25,0.47000000000000003,0.65,0.44,0.04
maple,0.24,0.45,0.6000000000000001,0.44,0.03
lime,0.26,0.47000000000000003,0.56,0.48,0.07
l2x,0.04,0.39,0.17,0.45,0.17


MLP,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.4,0.01,0.47000000000000003,1.17
shap,0.4,0.49,0.6900000000000001,0.46,0.03
shapr,0.30000000000000004,0.48,0.6900000000000001,0.44,0.01
brutekernelshap,0.36,0.52,0.6900000000000001,0.45,0.03
maple,0.39,0.5,0.6900000000000001,0.44,0.03
lime,0.46,0.48,0.63,0.44,0.05
l2x,-0.02,0.41000000000000003,0.05,0.39,0.17


