LR,0.32,0.35
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.09,0.34,0.07,0.37,1.03
shap,-0.26,0.42,0.58,0.41000000000000003,0.14
shapr,0.27,0.48,0.49,0.42,0.03
brutekernelshap,-0.05,0.44,0.55,0.42,0.14
maple,-0.24,0.42,0.56,0.42,0.14
lime,0.25,0.42,0.6000000000000001,0.42,0.24
l2x,-0.08,0.33,0.04,0.36,0.07


DTREE,0.00,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.39,0.01,0.4,1.09
shap,0.15,0.41000000000000003,0.27,0.41000000000000003,0.08
shapr,0.12,0.41000000000000003,0.34,0.37,0.03
brutekernelshap,-0.01,0.38,0.16,0.35000000000000003,0.17
maple,0.05,0.4,0.62,0.30000000000000004,0.19
lime,0.12,0.42,0.16,0.43,0.14
l2x,0.05,0.38,-0.2,0.38,0.11


MLP,0.07,0.10
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.34,0.03,0.37,1.05
shap,0.34,0.36,0.4,0.36,0.06
shapr,0.05,0.38,0.36,0.36,0.02
brutekernelshap,0.23,0.37,0.37,0.38,0.07
maple,0.07,0.37,0.54,0.4,0.09
lime,0.30000000000000004,0.4,0.47000000000000003,0.36,0.11
l2x,-0.04,0.39,0.04,0.36,0.09


