LR,0.68,0.79
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.5,0.03,0.47000000000000003,1.08
shap,0.05,0.5700000000000001,0.88,0.58,0.01
shapr,-0.06,0.56,0.86,0.59,0.0
brutekernelshap,0.07,0.54,0.87,0.5700000000000001,0.01
maple,0.07,0.61,0.9,0.55,0.01
lime,0.05,0.55,0.88,0.52,0.03
l2x,-0.04,0.43,0.06,0.46,0.11


DTREE,0.00,0.09
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.0,0.46,0.03,0.47000000000000003,1.19
shap,0.05,0.48,0.74,0.59,0.01
shapr,0.08,0.49,0.81,0.61,0.0
brutekernelshap,-0.0,0.5,0.42,0.52,0.02
maple,-0.30000000000000004,0.56,0.48,0.59,0.16
lime,0.23,0.49,0.62,0.62,0.07
l2x,-0.02,0.5,0.06,0.48,0.15


MLP,0.04,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.48,-0.07,0.46,1.16
shap,0.11,0.58,0.81,0.56,0.01
shapr,0.07,0.64,0.88,0.6000000000000001,0.0
brutekernelshap,0.04,0.58,0.39,0.5,0.03
maple,-0.24,0.62,0.44,0.65,0.11
lime,0.12,0.58,0.63,0.6000000000000001,0.1
l2x,-0.05,0.49,0.11,0.5,0.18


