LR,0.88,0.80
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.06,0.36,-0.04,0.39,0.97
shap,0.0,0.41000000000000003,0.5700000000000001,0.38,0.19
shapr,-0.22,0.43,0.48,0.44,0.04
brutekernelshap,-0.07,0.5,0.52,0.38,0.18
maple,-0.06,0.49,0.55,0.39,0.18
lime,-0.05,0.46,0.51,0.38,0.30000000000000004
l2x,-0.01,0.42,0.07,0.44,0.05


DTREE,0.00,0.07
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.06,0.38,-0.03,0.39,1.13
shap,-0.06,0.39,0.32,0.4,0.18
shapr,-0.05,0.4,0.36,0.42,0.07
brutekernelshap,0.12,0.39,0.08,0.33,0.25
maple,0.04,0.38,0.6000000000000001,0.43,0.96
lime,-0.05,0.38,0.38,0.43,0.15
l2x,0.05,0.38,-0.22,0.33,0.09


MLP,0.01,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.34,-0.08,0.38,1.03
shap,-0.09,0.34,0.01,0.41000000000000003,0.05
shapr,0.02,0.32,0.03,0.4,0.01
brutekernelshap,0.05,0.33,-0.02,0.39,0.06
maple,0.05,0.34,0.61,0.44,0.24
lime,-0.08,0.39,0.07,0.42,0.1
l2x,-0.02,0.35000000000000003,0.18,0.30000000000000004,0.09


