LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.34,-0.02,0.39,1.11
shap,0.49,0.36,0.65,0.44,0.03
shapr,0.16,0.38,0.59,0.41000000000000003,0.01
brutekernelshap,0.42,0.36,0.65,0.46,0.03
maple,0.46,0.36,0.64,0.45,0.03
lime,0.5,0.38,0.66,0.46,0.06
l2x,-0.02,0.30000000000000004,-0.01,0.32,0.14


DTREE,0.00,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.4,0.04,0.42,1.16
shap,0.23,0.42,0.58,0.42,0.05
shapr,0.06,0.41000000000000003,0.52,0.41000000000000003,0.01
brutekernelshap,0.2,0.43,0.59,0.44,0.04
maple,0.14,0.4,0.56,0.43,0.03
lime,0.28,0.44,0.59,0.44,0.08
l2x,0.11,0.39,0.08,0.39,0.15


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.34,0.02,0.4,1.04
shap,0.33,0.38,0.61,0.42,0.03
shapr,0.13,0.4,0.5700000000000001,0.36,0.01
brutekernelshap,0.32,0.36,0.59,0.45,0.03
maple,0.29,0.36,0.62,0.47000000000000003,0.03
lime,0.35000000000000003,0.37,0.61,0.46,0.05
l2x,0.06,0.34,-0.14,0.34,0.14


