LR,0.34,0.26
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.07,0.44,0.05,0.45,1.07
shap,0.51,0.6000000000000001,0.92,0.48,0.02
shapr,0.56,0.64,0.87,0.46,0.0
brutekernelshap,0.56,0.5700000000000001,0.9,0.5,0.01
maple,0.54,0.6000000000000001,0.91,0.48,0.01
lime,0.56,0.6000000000000001,0.88,0.5,0.05
l2x,0.05,0.44,0.09,0.46,0.15


DTREE,0.00,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.46,-0.08,0.45,1.3
shap,0.32,0.51,0.91,0.42,0.02
shapr,0.35000000000000003,0.5,0.91,0.43,0.0
brutekernelshap,0.15,0.47000000000000003,0.73,0.42,0.05
maple,-0.35000000000000003,0.51,0.53,0.4,0.12
lime,0.4,0.49,0.8200000000000001,0.41000000000000003,0.06
l2x,-0.01,0.46,-0.05,0.42,0.22


MLP,0.16,0.17
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.46,-0.08,0.44,1.1
shap,0.44,0.63,0.9400000000000001,0.48,0.02
shapr,0.46,0.6000000000000001,0.92,0.43,0.0
brutekernelshap,0.45,0.59,0.9,0.44,0.02
maple,-0.19,0.45,0.73,0.4,0.07
lime,0.51,0.59,0.89,0.44,0.04
l2x,-0.06,0.48,0.2,0.44,0.18


