LR,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.34,0.05,0.39,1.04
shap,0.61,0.31,0.67,0.45,0.02
shapr,0.38,0.31,0.58,0.4,0.01
brutekernelshap,0.6000000000000001,0.31,0.68,0.43,0.02
maple,0.61,0.32,0.6900000000000001,0.45,0.02
lime,0.65,0.32,0.68,0.43,0.05
l2x,0.09,0.26,0.06,0.34,0.09


DTREE,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.35000000000000003,0.02,0.38,1.04
shap,0.19,0.38,0.49,0.38,0.13
shapr,0.18,0.38,0.45,0.38,0.02
brutekernelshap,0.04,0.35000000000000003,0.46,0.38,0.12
maple,0.2,0.36,0.5,0.42,0.02
lime,0.21,0.34,0.49,0.37,0.2
l2x,0.02,0.36,0.04,0.33,0.09


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.39,0.05,0.38,1.06
shap,0.02,0.37,0.21,0.42,0.01
shapr,0.07,0.31,0.19,0.41000000000000003,0.0
brutekernelshap,0.14,0.36,0.46,0.42,0.01
maple,0.17,0.35000000000000003,0.51,0.38,0.02
lime,-0.08,0.37,0.30000000000000004,0.43,0.02
l2x,0.01,0.35000000000000003,0.13,0.36,0.09


