LR,0.30,0.28
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.4,0.1,0.41000000000000003,1.07
shap,0.68,0.47000000000000003,0.87,0.46,0.03
shapr,0.48,0.54,0.81,0.44,0.01
brutekernelshap,0.67,0.49,0.86,0.44,0.03
maple,0.65,0.49,0.85,0.46,0.03
lime,0.71,0.5,0.87,0.43,0.07
l2x,0.02,0.36,0.04,0.43,0.14


DTREE,0.00,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.43,-0.04,0.42,1.23
shap,0.35000000000000003,0.44,0.78,0.42,0.03
shapr,0.28,0.51,0.8200000000000001,0.44,0.01
brutekernelshap,0.03,0.47000000000000003,0.53,0.38,0.08
maple,-0.31,0.44,0.4,0.35000000000000003,0.11
lime,0.41000000000000003,0.46,0.68,0.44,0.08
l2x,-0.04,0.43,-0.0,0.44,0.2


MLP,0.15,0.15
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.44,0.07,0.42,1.05
shap,0.43,0.54,0.79,0.46,0.03
shapr,0.30000000000000004,0.58,0.8,0.45,0.01
brutekernelshap,0.39,0.48,0.74,0.44,0.03
maple,0.49,0.5,0.77,0.4,0.05
lime,0.5700000000000001,0.5,0.76,0.46,0.06
l2x,0.03,0.4,-0.01,0.38,0.16


