LR,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.38,-0.01,0.4,1.25
shap,0.51,0.44,0.76,0.42,0.03
shapr,0.36,0.44,0.78,0.43,0.01
brutekernelshap,0.5,0.45,0.77,0.42,0.03
maple,0.52,0.44,0.78,0.44,0.03
lime,0.51,0.48,0.72,0.44,0.05
l2x,-0.09,0.4,0.07,0.37,0.19


DTREE,0.00,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.4,-0.07,0.42,1.03
shap,0.32,0.46,0.72,0.46,0.04
shapr,0.21,0.48,0.66,0.44,0.01
brutekernelshap,0.21,0.46,0.65,0.44,0.04
maple,0.24,0.45,0.62,0.47000000000000003,0.03
lime,0.18,0.44,0.65,0.45,0.05
l2x,-0.03,0.41000000000000003,0.09,0.42,0.18


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.42,-0.02,0.4,1.17
shap,0.35000000000000003,0.46,0.76,0.43,0.03
shapr,0.35000000000000003,0.48,0.78,0.42,0.01
brutekernelshap,0.4,0.46,0.77,0.44,0.03
maple,0.37,0.44,0.76,0.44,0.03
lime,0.43,0.46,0.7000000000000001,0.43,0.05
l2x,0.02,0.4,0.0,0.36,0.19


