LR,0.38,0.39
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.52,0.05,0.44,1.12
shap,0.51,0.7000000000000001,0.96,0.46,0.01
shapr,0.51,0.7000000000000001,0.98,0.46,0.0
brutekernelshap,0.49,0.62,0.99,0.47000000000000003,0.0
maple,0.51,0.71,0.98,0.43,0.0
lime,0.49,0.7000000000000001,0.96,0.46,0.03
l2x,0.04,0.47000000000000003,0.18,0.43,0.18


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.48,-0.05,0.46,1.29
shap,0.35000000000000003,0.5,0.96,0.41000000000000003,0.0
shapr,0.32,0.5,0.98,0.4,0.0
brutekernelshap,0.16,0.42,0.73,0.4,0.08
maple,-0.39,0.52,0.5,0.42,0.13
lime,0.52,0.48,0.87,0.39,0.05
l2x,-0.07,0.46,0.12,0.45,0.26


MLP,0.20,0.22
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.51,0.01,0.46,1.11
shap,0.55,0.76,0.96,0.46,0.0
shapr,0.53,0.78,0.98,0.45,0.0
brutekernelshap,0.54,0.7000000000000001,0.96,0.48,0.01
maple,-0.34,0.49,0.71,0.46,0.06
lime,0.59,0.72,0.93,0.44,0.03
l2x,0.04,0.49,-0.01,0.46,0.2


