LR,0.30,0.30
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.09,0.36,0.04,0.4,1.02
shap,0.59,0.46,0.77,0.44,0.04
shapr,0.39,0.43,0.68,0.44,0.01
brutekernelshap,0.5700000000000001,0.47000000000000003,0.77,0.46,0.04
maple,0.5700000000000001,0.47000000000000003,0.75,0.46,0.04
lime,0.68,0.44,0.8,0.41000000000000003,0.08
l2x,-0.06,0.33,-0.09,0.39,0.11


DTREE,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.42,-0.03,0.4,1.18
shap,0.34,0.41000000000000003,0.58,0.42,0.04
shapr,0.27,0.44,0.65,0.4,0.01
brutekernelshap,0.06,0.42,0.32,0.37,0.08
maple,-0.28,0.44,0.2,0.27,0.09
lime,0.35000000000000003,0.47000000000000003,0.48,0.41000000000000003,0.1
l2x,-0.07,0.37,-0.16,0.35000000000000003,0.16


MLP,0.12,0.15
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.4,0.05,0.38,1.02
shap,0.21,0.43,0.49,0.44,0.04
shapr,0.26,0.44,0.51,0.44,0.01
brutekernelshap,0.08,0.41000000000000003,0.49,0.42,0.06
maple,0.25,0.42,0.62,0.44,0.06
lime,0.4,0.44,0.53,0.46,0.08
l2x,0.01,0.37,0.09,0.35000000000000003,0.12


