LR,0.56,0.45
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.5,0.06,0.5,1.07
shap,0.07,0.64,0.9400000000000001,0.54,0.0
shapr,0.07,0.6900000000000001,0.97,0.56,0.0
brutekernelshap,0.04,0.68,0.99,0.53,0.0
maple,0.03,0.72,0.98,0.56,0.0
lime,0.01,0.78,0.9400000000000001,0.53,0.03
l2x,0.02,0.46,-0.01,0.47000000000000003,0.13


DTREE,0.00,0.10
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.48,-0.09,0.5,1.31
shap,0.09,0.47000000000000003,0.88,0.58,0.0
shapr,-0.01,0.53,0.88,0.58,0.0
brutekernelshap,-0.12,0.5,0.49,0.51,0.03
maple,-0.14,0.5,0.53,0.49,0.11
lime,0.11,0.5,0.68,0.6000000000000001,0.13
l2x,0.0,0.47000000000000003,0.02,0.52,0.25


MLP,0.01,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.0,0.52,0.03,0.46,1.22
shap,0.06,0.72,0.9400000000000001,0.56,0.0
shapr,0.08,0.71,0.9500000000000001,0.56,0.0
brutekernelshap,-0.09,0.54,0.6000000000000001,0.49,0.03
maple,-0.24,0.5700000000000001,0.48,0.49,0.08
lime,0.1,0.68,0.72,0.58,0.11
l2x,-0.01,0.44,-0.03,0.5,0.25


