LR,0.67,0.67
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.08,0.53,0.1,0.5,1.02
shap,0.02,0.5700000000000001,0.84,0.52,0.01
shapr,0.02,0.63,0.9,0.53,0.0
brutekernelshap,0.1,0.62,0.84,0.52,0.01
maple,0.07,0.6000000000000001,0.8300000000000001,0.51,0.01
lime,0.02,0.5700000000000001,0.8200000000000001,0.52,0.03
l2x,0.0,0.45,0.05,0.48,0.09


DTREE,0.00,0.08
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.47000000000000003,-0.03,0.46,1.22
shap,0.21,0.52,0.81,0.55,0.01
shapr,-0.0,0.48,0.84,0.55,0.0
brutekernelshap,0.0,0.55,0.5,0.47000000000000003,0.03
maple,-0.17,0.52,0.56,0.6000000000000001,0.13
lime,0.05,0.54,0.6000000000000001,0.58,0.11
l2x,0.01,0.48,-0.01,0.5,0.2


MLP,0.03,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.48,-0.02,0.47000000000000003,1.16
shap,0.15,0.6000000000000001,0.84,0.52,0.01
shapr,0.05,0.62,0.89,0.55,0.0
brutekernelshap,-0.04,0.56,0.48,0.5,0.03
maple,-0.23,0.61,0.55,0.59,0.09
lime,0.1,0.62,0.65,0.56,0.12
l2x,-0.02,0.48,0.09,0.49,0.22


