LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.47000000000000003,-0.02,0.42,1.19
shap,0.59,0.8,0.9400000000000001,0.45,0.01
shapr,0.59,0.8200000000000001,0.98,0.42,0.0
brutekernelshap,0.6000000000000001,0.86,0.99,0.41000000000000003,0.0
maple,0.6000000000000001,0.8200000000000001,0.98,0.42,0.0
lime,0.6000000000000001,0.7000000000000001,0.91,0.43,0.06
l2x,0.08,0.48,0.16,0.44,0.26


DTREE,0.00,0.07
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.07,0.49,0.1,0.45,1.15
shap,0.28,0.52,0.89,0.38,0.0
shapr,0.45,0.54,0.92,0.38,0.0
brutekernelshap,0.37,0.51,0.88,0.38,0.01
maple,0.39,0.48,0.8200000000000001,0.41000000000000003,0.01
lime,0.4,0.53,0.8,0.38,0.05
l2x,0.0,0.48,-0.01,0.45,0.22


MLP,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.46,-0.08,0.44,1.26
shap,0.53,0.6900000000000001,0.9400000000000001,0.42,0.01
shapr,0.54,0.7000000000000001,0.97,0.4,0.0
brutekernelshap,0.52,0.7000000000000001,0.97,0.42,0.0
maple,0.55,0.7000000000000001,0.98,0.44,0.0
lime,0.55,0.68,0.9,0.43,0.06
l2x,0.05,0.44,0.04,0.44,0.27


