LR,0.81,0.69
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.08,0.45,0.02,0.46,1.08
shap,0.17,0.49,0.79,0.5,0.05
shapr,0.03,0.46,0.75,0.52,0.01
brutekernelshap,0.18,0.53,0.79,0.5,0.05
maple,0.15,0.53,0.81,0.5,0.05
lime,0.09,0.5,0.8,0.5,0.08
l2x,-0.05,0.37,0.03,0.44,0.07


DTREE,0.00,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.42,-0.11,0.41000000000000003,1.12
shap,0.04,0.44,0.45,0.51,0.07
shapr,-0.07,0.44,0.53,0.5,0.03
brutekernelshap,0.01,0.45,0.27,0.41000000000000003,0.12
maple,0.04,0.46,0.52,0.47000000000000003,0.39
lime,0.07,0.46,0.48,0.49,0.14
l2x,-0.03,0.42,-0.12,0.43,0.19


MLP,0.01,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.42,-0.06,0.42,0.98
shap,0.25,0.45,0.48,0.47000000000000003,0.09
shapr,0.1,0.49,0.62,0.49,0.03
brutekernelshap,0.06,0.46,0.28,0.42,0.1
maple,0.13,0.48,0.56,0.5,0.30000000000000004
lime,0.23,0.45,0.42,0.46,0.18
l2x,-0.03,0.41000000000000003,0.16,0.44,0.19


