LR,0.32,0.28
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.08,0.29,0.02,0.39,0.98
shap,0.26,0.44,0.74,0.34,0.05
shapr,0.32,0.42,0.64,0.44,0.01
brutekernelshap,0.30000000000000004,0.5,0.74,0.32,0.05
maple,0.29,0.5,0.77,0.35000000000000003,0.05
lime,0.61,0.36,0.74,0.34,0.08
l2x,0.0,0.28,0.13,0.39,0.08


DTREE,0.00,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.37,-0.1,0.38,1.15
shap,0.12,0.42,0.24,0.39,0.08
shapr,-0.01,0.41000000000000003,0.24,0.36,0.03
brutekernelshap,-0.03,0.45,0.32,0.39,0.16
maple,-0.14,0.42,0.2,0.26,0.12
lime,0.03,0.38,0.07,0.47000000000000003,0.16
l2x,0.02,0.4,0.02,0.28,0.09


MLP,0.08,0.09
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.34,0.02,0.39,1.01
shap,0.09,0.38,0.15,0.38,0.05
shapr,0.07,0.35000000000000003,0.11,0.38,0.01
brutekernelshap,0.14,0.35000000000000003,0.18,0.39,0.06
maple,0.1,0.4,0.54,0.38,0.12
lime,0.16,0.35000000000000003,0.19,0.39,0.1
l2x,-0.04,0.35000000000000003,-0.05,0.37,0.08


