LR,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.43,0.03,0.45,1.24
shap,0.52,0.6000000000000001,0.86,0.44,0.02
shapr,0.47000000000000003,0.58,0.92,0.43,0.01
brutekernelshap,0.52,0.5700000000000001,0.87,0.45,0.02
maple,0.52,0.56,0.87,0.41000000000000003,0.02
lime,0.55,0.56,0.8,0.42,0.05
l2x,0.04,0.42,-0.03,0.4,0.23


DTREE,0.00,0.10
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.0,0.46,0.05,0.42,1.15
shap,0.34,0.48,0.78,0.42,0.02
shapr,0.26,0.51,0.81,0.43,0.0
brutekernelshap,0.32,0.51,0.78,0.42,0.02
maple,0.26,0.51,0.67,0.41000000000000003,0.02
lime,0.22,0.52,0.6900000000000001,0.41000000000000003,0.06
l2x,0.02,0.41000000000000003,-0.04,0.38,0.2


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.46,0.02,0.43,1.13
shap,0.47000000000000003,0.5700000000000001,0.86,0.44,0.02
shapr,0.42,0.5700000000000001,0.9,0.44,0.01
brutekernelshap,0.47000000000000003,0.56,0.88,0.44,0.02
maple,0.5,0.52,0.86,0.43,0.02
lime,0.53,0.5700000000000001,0.8,0.43,0.05
l2x,-0.07,0.42,0.02,0.4,0.21


