LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.34,-0.04,0.41000000000000003,1.05
shap,0.44,0.37,0.7000000000000001,0.44,0.03
shapr,0.26,0.41000000000000003,0.68,0.4,0.01
brutekernelshap,0.38,0.42,0.71,0.44,0.03
maple,0.47000000000000003,0.4,0.72,0.44,0.03
lime,0.53,0.38,0.68,0.41000000000000003,0.05
l2x,0.12,0.35000000000000003,0.11,0.4,0.14


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.43,0.08,0.4,1.06
shap,0.2,0.38,0.59,0.44,0.05
shapr,0.24,0.43,0.5700000000000001,0.4,0.01
brutekernelshap,0.11,0.42,0.56,0.43,0.04
maple,0.18,0.4,0.55,0.42,0.03
lime,0.19,0.42,0.58,0.43,0.09
l2x,-0.02,0.37,-0.21,0.34,0.14


MLP,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.09,0.37,-0.09,0.38,1.06
shap,0.30000000000000004,0.41000000000000003,0.67,0.43,0.03
shapr,0.2,0.4,0.64,0.43,0.01
brutekernelshap,0.30000000000000004,0.42,0.66,0.44,0.03
maple,0.34,0.41000000000000003,0.67,0.44,0.03
lime,0.35000000000000003,0.38,0.6000000000000001,0.44,0.04
l2x,0.01,0.31,-0.03,0.36,0.14


