LR,0.30,0.36
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.41000000000000003,-0.03,0.39,1.07
shap,0.64,0.5,0.8300000000000001,0.45,0.03
shapr,0.46,0.53,0.78,0.46,0.01
brutekernelshap,0.6000000000000001,0.46,0.8200000000000001,0.45,0.03
maple,0.64,0.51,0.81,0.47000000000000003,0.03
lime,0.63,0.5,0.8200000000000001,0.46,0.08
l2x,-0.01,0.42,0.15,0.4,0.14


DTREE,0.00,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.08,0.45,-0.04,0.42,1.18
shap,0.25,0.49,0.79,0.42,0.03
shapr,0.33,0.47000000000000003,0.8200000000000001,0.41000000000000003,0.01
brutekernelshap,0.12,0.48,0.61,0.43,0.05
maple,-0.33,0.46,0.39,0.34,0.11
lime,0.37,0.44,0.6900000000000001,0.43,0.08
l2x,0.08,0.42,0.21,0.4,0.16


MLP,0.12,0.18
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.42,0.02,0.44,1.09
shap,0.48,0.46,0.76,0.45,0.03
shapr,0.42,0.53,0.75,0.44,0.01
brutekernelshap,0.36,0.5,0.67,0.45,0.04
maple,0.47000000000000003,0.48,0.74,0.4,0.05
lime,0.5700000000000001,0.49,0.74,0.44,0.07
l2x,-0.06,0.38,-0.08,0.36,0.13


