LR,0.31,0.33
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.30000000000000004,-0.09,0.37,0.92
shap,-0.38,0.4,0.6000000000000001,0.36,0.01
shapr,-0.27,0.4,0.51,0.34,0.0
brutekernelshap,-0.4,0.39,0.62,0.34,0.01
maple,-0.4,0.41000000000000003,0.64,0.35000000000000003,0.01
lime,-0.29,0.34,0.59,0.34,0.03
l2x,-0.04,0.31,0.0,0.43,0.07


DTREE,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.38,-0.04,0.4,1.04
shap,0.14,0.4,0.2,0.42,0.08
shapr,0.05,0.42,0.33,0.39,0.03
brutekernelshap,-0.06,0.39,0.19,0.37,0.11
maple,0.05,0.43,0.8,0.38,0.26
lime,-0.14,0.34,0.03,0.43,0.14
l2x,0.12,0.36,0.17,0.39,0.1


MLP,0.07,0.12
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.37,0.03,0.36,1.11
shap,-0.06,0.39,0.14,0.37,0.03
shapr,0.09,0.38,0.17,0.37,0.01
brutekernelshap,0.08,0.36,0.15,0.41000000000000003,0.03
maple,0.0,0.38,0.49,0.38,0.09
lime,0.09,0.35000000000000003,0.2,0.39,0.06
l2x,-0.05,0.34,-0.06,0.35000000000000003,0.08


