LR,0.94,0.93
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.38,-0.04,0.39,1.07
shap,0.03,0.41000000000000003,0.71,0.48,0.07
shapr,0.07,0.46,0.71,0.48,0.02
brutekernelshap,0.04,0.45,0.75,0.49,0.07
maple,-0.0,0.45,0.74,0.5,0.07
lime,0.03,0.45,0.73,0.52,0.13
l2x,0.12,0.30000000000000004,-0.34,0.36,0.05


DTREE,0.00,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.35000000000000003,0.03,0.41000000000000003,1.13
shap,-0.04,0.41000000000000003,0.21,0.42,0.07
shapr,-0.08,0.4,0.23,0.4,0.02
brutekernelshap,-0.06,0.4,0.1,0.32,0.12
maple,0.03,0.42,0.62,0.42,0.42
lime,-0.04,0.41000000000000003,0.35000000000000003,0.43,0.1
l2x,-0.08,0.37,-0.23,0.39,0.09


MLP,0.01,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.01,0.35000000000000003,0.07,0.38,1.03
shap,0.01,0.38,0.11,0.46,0.05
shapr,-0.02,0.34,0.12,0.42,0.01
brutekernelshap,-0.0,0.36,0.03,0.39,0.06
maple,0.05,0.4,0.7000000000000001,0.46,0.23
lime,-0.0,0.35000000000000003,0.22,0.42,0.11
l2x,-0.08,0.36,-0.30000000000000004,0.34,0.09


