LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.52,0.05,0.44,1.28
shap,0.68,0.8,0.97,0.39,0.0
shapr,0.66,0.86,0.98,0.39,0.0
brutekernelshap,0.67,0.89,0.99,0.42,0.0
maple,0.68,0.84,0.98,0.4,0.0
lime,0.65,0.75,0.89,0.4,0.07
l2x,0.04,0.46,0.17,0.4,0.28


DTREE,0.00,0.16
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.47000000000000003,0.07,0.45,1.24
shap,0.4,0.52,0.9,0.38,0.0
shapr,0.48,0.51,0.89,0.38,0.0
brutekernelshap,0.34,0.52,0.8200000000000001,0.37,0.02
maple,0.52,0.55,0.76,0.38,0.02
lime,0.52,0.52,0.75,0.41000000000000003,0.06
l2x,-0.05,0.5,0.11,0.43,0.23


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.02,0.52,0.08,0.44,1.07
shap,0.64,0.76,0.97,0.42,0.0
shapr,0.65,0.74,0.97,0.37,0.0
brutekernelshap,0.64,0.74,0.98,0.38,0.0
maple,0.64,0.76,0.97,0.4,0.0
lime,0.67,0.73,0.89,0.42,0.07
l2x,0.02,0.48,0.19,0.44,0.28


