LR,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.42,0.07,0.42,1.21
shap,0.52,0.47000000000000003,0.77,0.43,0.03
shapr,0.24,0.49,0.73,0.4,0.01
brutekernelshap,0.46,0.48,0.75,0.43,0.03
maple,0.51,0.47000000000000003,0.79,0.43,0.03
lime,0.48,0.46,0.72,0.42,0.05
l2x,-0.0,0.35000000000000003,-0.01,0.38,0.19


DTREE,0.00,0.06
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.03,0.44,-0.0,0.42,1.09
shap,0.24,0.45,0.63,0.4,0.03
shapr,0.18,0.46,0.61,0.42,0.01
brutekernelshap,0.13,0.45,0.52,0.42,0.04
maple,0.18,0.44,0.55,0.42,0.03
lime,0.24,0.48,0.55,0.42,0.06
l2x,0.11,0.4,-0.08,0.38,0.18


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.4,0.04,0.41000000000000003,1.16
shap,0.43,0.48,0.75,0.42,0.03
shapr,0.29,0.47000000000000003,0.75,0.42,0.01
brutekernelshap,0.38,0.48,0.76,0.41000000000000003,0.03
maple,0.45,0.47000000000000003,0.77,0.44,0.03
lime,0.44,0.46,0.7000000000000001,0.43,0.05
l2x,-0.02,0.4,0.05,0.4,0.19


