LR,0.85,0.96
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.02,0.46,-0.08,0.47000000000000003,0.9400000000000001
shap,0.06,0.55,0.76,0.49,0.05
shapr,-0.07,0.52,0.76,0.52,0.01
brutekernelshap,0.01,0.51,0.77,0.5,0.05
maple,-0.02,0.53,0.79,0.5,0.05
lime,-0.1,0.51,0.79,0.5,0.09
l2x,0.01,0.4,-0.03,0.49,0.07


DTREE,0.00,0.15
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.43,-0.02,0.42,1.09
shap,0.08,0.46,0.42,0.5,0.09
shapr,0.11,0.5,0.61,0.49,0.04
brutekernelshap,-0.09,0.47000000000000003,0.22,0.45,0.13
maple,0.07,0.46,0.55,0.47000000000000003,0.32
lime,0.07,0.48,0.46,0.46,0.14
l2x,0.06,0.48,0.19,0.44,0.18


MLP,0.01,0.02
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.41000000000000003,0.06,0.46,1.13
shap,0.19,0.47000000000000003,0.43,0.49,0.1
shapr,0.03,0.48,0.65,0.5,0.04
brutekernelshap,-0.02,0.48,0.28,0.47000000000000003,0.11
maple,0.08,0.46,0.6000000000000001,0.5,0.29
lime,0.21,0.45,0.47000000000000003,0.5,0.17
l2x,-0.01,0.46,-0.03,0.39,0.19


