LR,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.27,-0.02,0.33,1.07
shap,0.61,0.31,0.72,0.43,0.02
shapr,0.42,0.35000000000000003,0.61,0.42,0.0
brutekernelshap,0.5700000000000001,0.33,0.67,0.4,0.02
maple,0.6000000000000001,0.32,0.7000000000000001,0.43,0.02
lime,0.63,0.32,0.65,0.43,0.05
l2x,0.13,0.28,-0.12,0.30000000000000004,0.08


DTREE,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.35000000000000003,0.09,0.36,1.09
shap,0.14,0.33,0.42,0.4,0.12
shapr,0.22,0.34,0.37,0.36,0.02
brutekernelshap,0.18,0.36,0.44,0.39,0.11
maple,0.21,0.38,0.52,0.44,0.02
lime,0.22,0.35000000000000003,0.38,0.42,0.22
l2x,0.04,0.35000000000000003,-0.03,0.34,0.08


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.32,-0.02,0.36,1.12
shap,0.16,0.36,0.29,0.42,0.01
shapr,-0.06,0.34,0.28,0.42,0.0
brutekernelshap,0.07,0.39,0.52,0.41000000000000003,0.01
maple,0.08,0.38,0.5700000000000001,0.44,0.02
lime,-0.05,0.30000000000000004,0.26,0.42,0.03
l2x,-0.07,0.29,-0.2,0.30000000000000004,0.08


