LR,0.29,0.27
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.37,-0.02,0.4,1.04
shap,0.46,0.46,0.78,0.43,0.04
shapr,0.30000000000000004,0.46,0.7000000000000001,0.44,0.01
brutekernelshap,0.43,0.43,0.77,0.42,0.04
maple,0.44,0.46,0.79,0.41000000000000003,0.04
lime,0.5700000000000001,0.44,0.8,0.44,0.08
l2x,0.07,0.33,-0.05,0.46,0.11


DTREE,0.00,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.41000000000000003,-0.08,0.4,1.1400000000000001
shap,0.30000000000000004,0.46,0.55,0.42,0.05
shapr,0.18,0.46,0.64,0.41000000000000003,0.01
brutekernelshap,0.06,0.41000000000000003,0.41000000000000003,0.37,0.06
maple,-0.27,0.45,0.27,0.28,0.1
lime,0.30000000000000004,0.41000000000000003,0.51,0.44,0.11
l2x,-0.07,0.4,-0.27,0.42,0.16


MLP,0.11,0.16
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.4,-0.02,0.42,1.03
shap,0.29,0.45,0.6000000000000001,0.45,0.04
shapr,0.21,0.41000000000000003,0.55,0.42,0.01
brutekernelshap,0.16,0.44,0.58,0.46,0.05
maple,0.27,0.44,0.58,0.45,0.05
lime,0.37,0.41000000000000003,0.56,0.46,0.07
l2x,-0.03,0.4,-0.11,0.39,0.13


