LR,0.71,0.78
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.46,-0.03,0.5,1.01
shap,0.03,0.54,0.81,0.55,0.03
shapr,0.01,0.58,0.85,0.55,0.01
brutekernelshap,-0.0,0.56,0.76,0.55,0.03
maple,-0.01,0.5700000000000001,0.8,0.56,0.03
lime,0.03,0.63,0.8,0.54,0.08
l2x,0.05,0.42,-0.13,0.5,0.09


DTREE,0.00,0.07
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.5,-0.01,0.49,1.17
shap,0.15,0.48,0.5700000000000001,0.52,0.03
shapr,0.12,0.48,0.71,0.53,0.01
brutekernelshap,0.05,0.48,0.34,0.52,0.05
maple,0.04,0.51,0.49,0.53,0.15
lime,0.14,0.47000000000000003,0.51,0.5700000000000001,0.15
l2x,0.07,0.48,0.01,0.44,0.22


MLP,0.01,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.08,0.48,0.01,0.46,1.13
shap,0.16,0.6000000000000001,0.67,0.54,0.04
shapr,0.01,0.62,0.84,0.55,0.01
brutekernelshap,-0.09,0.54,0.39,0.48,0.05
maple,0.03,0.5,0.47000000000000003,0.48,0.14
lime,0.18,0.56,0.5700000000000001,0.54,0.15
l2x,0.02,0.43,-0.14,0.46,0.21


