LR,0.50,0.76
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.51,-0.0,0.46,1.07
shap,0.03,0.73,0.97,0.58,0.0
shapr,0.07,0.67,0.9500000000000001,0.55,0.0
brutekernelshap,0.02,0.77,0.96,0.59,0.0
maple,0.03,0.74,0.97,0.5700000000000001,0.0
lime,-0.0,0.71,0.93,0.6000000000000001,0.03
l2x,-0.03,0.42,-0.09,0.48,0.15


DTREE,0.00,0.14
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.49,-0.06,0.49,1.16
shap,0.14,0.52,0.85,0.55,0.0
shapr,0.05,0.51,0.85,0.56,0.0
brutekernelshap,0.02,0.5,0.55,0.48,0.03
maple,-0.06,0.51,0.43,0.54,0.12
lime,0.13,0.48,0.63,0.56,0.11
l2x,0.02,0.48,-0.0,0.46,0.2


MLP,0.02,0.03
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.04,0.5,0.05,0.49,1.16
shap,0.14,0.68,0.9500000000000001,0.54,0.0
shapr,0.14,0.6900000000000001,0.96,0.54,0.0
brutekernelshap,0.02,0.55,0.55,0.48,0.03
maple,-0.15,0.56,0.53,0.47000000000000003,0.07
lime,0.2,0.6900000000000001,0.73,0.53,0.11
l2x,-0.06,0.48,0.07,0.44,0.22


