LR,0.68,0.54
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.5,-0.05,0.46,0.99
shap,0.14,0.68,0.9,0.55,0.01
shapr,0.05,0.6000000000000001,0.9400000000000001,0.56,0.0
brutekernelshap,0.13,0.64,0.9,0.55,0.01
maple,0.13,0.72,0.9,0.58,0.01
lime,0.1,0.68,0.89,0.55,0.03
l2x,0.07,0.43,-0.07,0.52,0.1


DTREE,0.00,0.22
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.46,0.03,0.5,1.26
shap,0.04,0.52,0.8200000000000001,0.52,0.01
shapr,0.02,0.5,0.85,0.52,0.0
brutekernelshap,-0.08,0.55,0.58,0.48,0.04
maple,0.07,0.5,0.55,0.52,0.15
lime,0.17,0.53,0.61,0.53,0.14
l2x,-0.09,0.46,0.13,0.5,0.26


MLP,0.01,0.08
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.03,0.5,0.0,0.5,1.29
shap,0.12,0.65,0.86,0.55,0.01
shapr,0.06,0.7000000000000001,0.91,0.51,0.0
brutekernelshap,-0.1,0.56,0.51,0.46,0.04
maple,0.03,0.61,0.5700000000000001,0.54,0.12
lime,0.17,0.68,0.67,0.56,0.13
l2x,0.02,0.54,0.13,0.5,0.27


