LR,0.39,0.42
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.52,0.03,0.48,1.05
shap,0.66,0.71,0.99,0.41000000000000003,0.0
shapr,0.64,0.71,0.99,0.4,0.0
brutekernelshap,0.65,0.75,0.98,0.45,0.0
maple,0.65,0.72,0.99,0.43,0.0
lime,0.65,0.64,0.92,0.4,0.04
l2x,0.06,0.43,0.04,0.44,0.18


DTREE,0.00,0.07
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.05,0.48,0.02,0.46,1.24
shap,0.45,0.48,0.97,0.39,0.0
shapr,0.41000000000000003,0.5,0.99,0.39,0.0
brutekernelshap,0.16,0.47000000000000003,0.71,0.38,0.07
maple,-0.38,0.54,0.48,0.42,0.13
lime,0.42,0.49,0.88,0.36,0.06
l2x,-0.04,0.42,-0.13,0.43,0.24


MLP,0.18,0.27
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.08,0.5,-0.05,0.46,1.1
shap,0.61,0.68,0.98,0.41000000000000003,0.0
shapr,0.59,0.68,0.98,0.42,0.0
brutekernelshap,0.61,0.62,0.96,0.39,0.01
maple,-0.29,0.45,0.62,0.44,0.08
lime,0.67,0.73,0.92,0.39,0.03
l2x,0.03,0.43,0.21,0.5,0.2


